[2014-02-06 23:19:25.428] [DEBUG] mainLog -  in file: repository.js at line number null, Log line: loadUserData 1
[2014-02-06 23:19:25.522] [DEBUG] mainLog -  in file: repository.js at line number null, Log line: _counterCallback 1
[2014-02-06 23:19:25.523] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1c","type":"OR","done":[],"parentName":"1b"}'
[2014-02-06 23:19:25.523] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4a","type":"OR","done":[]}'
[2014-02-06 23:19:25.523] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"5a","type":"AND","done":[]}'
[2014-02-06 23:19:25.524] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"3a","done":[]}'
[2014-02-06 23:19:25.524] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4b1","done":[],"parentName":"4a"}'
[2014-02-06 23:19:25.524] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"2a","done":[]}'
[2014-02-06 23:19:25.524] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1a","done":[]}'
[2014-02-06 23:19:25.524] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"2b","type":"OR","done":[],"parentName":"1a"}'
[2014-02-06 23:19:25.524] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4b","done":[],"parentName":"4a"}'
[2014-02-06 23:19:25.524] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1b","type":"OR","done":[],"parentName":"1a"}'
[2014-02-06 23:19:30.913] [DEBUG] mainLog -  in file: repository.js at line number null, Log line: loadUserData 2
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: repository.js at line number null, Log line: _counterCallback 2
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1c","type":"OR","done":[],"parentName":"1b"}'
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4a","type":"OR","done":[]}'
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"5a","type":"AND","done":[]}'
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"3a","done":[]}'
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4b1","done":[],"parentName":"4a"}'
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"2a","done":[]}'
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1a","done":[]}'
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"2b","type":"OR","done":[],"parentName":"1a"}'
[2014-02-06 23:19:31.006] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4b","done":[],"parentName":"4a"}'
[2014-02-06 23:19:31.007] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1b","type":"OR","done":[],"parentName":"1a"}'
[2014-02-06 23:19:41.425] [DEBUG] mainLog -  in file: repository.js at line number null, Log line: loadUserData 3
[2014-02-06 23:19:41.520] [DEBUG] mainLog -  in file: repository.js at line number null, Log line: _counterCallback 3
[2014-02-06 23:19:41.520] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1c","type":"OR","done":[],"parentName":"1b"}'
[2014-02-06 23:19:41.520] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4a","type":"OR","done":[]}'
[2014-02-06 23:19:41.520] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"5a","type":"AND","done":[]}'
[2014-02-06 23:19:41.520] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"3a","done":[]}'
[2014-02-06 23:19:41.520] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4b1","done":[],"parentName":"4a"}'
[2014-02-06 23:19:41.521] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"2a","done":[]}'
[2014-02-06 23:19:41.521] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1a","done":[]}'
[2014-02-06 23:19:41.521] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"2b","type":"OR","done":[],"parentName":"1a"}'
[2014-02-06 23:19:41.521] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"4b","done":[],"parentName":"4a"}'
[2014-02-06 23:19:41.521] [DEBUG] mainLog -  in file: exercise.js at line number 198, Log line: '{"userID":"hanan","name":"1b","type":"OR","done":[],"parentName":"1a"}'
